date,stock,mkt
2018-01-01,1.0,1.0
2018-01-08,1.0618806117055757,1.0535263142643383
2018-01-15,1.0532404284307677,1.0498595254569378
2018-01-22,1.1406756202628388,1.3076813155940448
2018-01-29,1.1633743377885228,1.273536771428717
2018-02-05,1.0898676795580526,1.188008929282134
2018-02-12,1.1786207619316666,1.3263487897912096
2018-02-19,1.2203654438831366,1.3616362026373592
2018-02-26,1.2205688381237838,1.4336396058469547
2018-03-05,1.284548542665418,1.5783608462698024
2018-03-12,1.2786826844946546,1.5165008067883996
2018-03-19,1.2167532101702832,1.4331158380609592
2018-03-26,1.1775224533715958,1.406495542490225
2018-04-02,1.1432627388670606,1.375541688281783
2018-04-09,1.16405781403187,1.484118227436587
2018-04-16,1.242730666448932,1.5608837620628662
2018-04-23,1.2794473988384474,1.484642138086525
2018-04-30,1.2862244591394254,1.5243106261176576
2018-05-07,1.3040906767647622,1.5546453794312736
2018-05-14,1.2808711585229775,1.5437877293254985
2018-05-21,1.3099809658381354,1.6728891882258874
2018-05-28,1.3355191588974509,1.7140339274719294
2018-06-04,1.3700554610940725,1.7170817582484463
2018-06-11,1.3960736368996989,1.866660325094997
2018-06-18,1.3958296232020404,1.9576645850358447
2018-06-25,1.3829181608736414,1.864041067097456
2018-07-02,1.391729163581091,1.94414015086099
2018-07-09,1.4750394640760272,1.884851557577705
2018-07-16,1.4755844971819587,1.7193674908479577
2018-07-23,1.4784890230752108,1.691556657660921
2018-07-30,1.4833867718479574,1.633839648701375
2018-08-06,1.5346502643964448,1.647078369277624
2018-08-13,1.5313308069300795,1.50854798541483
2018-08-20,1.5501814209506477,1.7087480282692504
2018-08-27,1.637494456642517,1.7509404459512254
2018-09-03,1.5881591374274802,1.660459949034241
2018-09-10,1.6029011479217037,1.7360826197418304
2018-09-17,1.5580080272628667,1.720034255916133
2018-09-24,1.6295946560652816,1.7816562507344105
2018-10-01,1.5373757268816928,1.6731749018244944
2018-10-08,1.4551718788522234,1.617029334324746
2018-10-15,1.435174192909178,1.5842183202957685
2018-10-22,1.3365524179114776,1.4278298007564696
2018-10-29,1.3550368620941855,1.4719748494696214
2018-11-05,1.3931936419790223,1.4451640257830367
2018-11-12,1.2963616956201691,1.3629695899097676
2018-11-19,1.22204146042711,1.2325348866009125
2018-11-26,1.375083410656027,1.3625886860662726
2018-12-03,1.3254226411301075,1.262631595251403
2018-12-10,1.295141330176286,1.2707271281792676
2018-12-17,1.1206615472526131,1.1733415549944868
2018-12-24,1.202483038516975,1.2194865512765718
2018-12-31,1.2817010232963573,1.4170674789973934
2019-01-07,1.334721869745653,1.6076479259096166
2019-01-14,1.3799892040777797,1.6148387919701228
2019-01-21,1.359137222458745,1.6098384682642397
2019-01-28,1.3230632475991762,1.6184103905326357
2019-02-04,1.2921391799289847,1.6551740498315624
2019-02-11,1.3081910371293215,1.699461814861141
2019-02-18,1.3273996770823542,1.7287488945009553
2019-02-25,1.3600809993969647,1.7016048311442251
2019-03-04,1.3186455808291295,1.6648411718452985
2019-03-11,1.393136635454831,1.721319979015192
2019-03-18,1.435776232539301,1.7191771103581814
2019-03-25,1.4487771761299302,1.6979855684083631
2019-04-01,1.4947687054188046,1.7405113638622944
2019-04-08,1.4994712046698764,1.6721748970861734
2019-04-15,1.5146280474808236,1.716034084574645
2019-04-22,1.5869876346023932,1.7850849901165535
2019-04-29,1.596612214272432,1.8335634546034707
2019-05-06,1.537644171481961,1.7193199695385504
2019-05-13,1.5205753430783882,1.6879375377890014
2019-05-20,1.483378627942562,1.6876518241903944
2019-05-27,1.44415601504927,1.6347444679569396
2019-06-03,1.4677172714127285,1.7185103405278743
2019-06-10,1.521120475440709,1.6178389585732904
2019-06-17,1.5549896884611636,1.758226497494488
2019-06-24,1.540613747734834,1.7492261453110591
2019-07-01,1.58070684404494,1.8122290534732837
2019-07-08,1.6361032717659916,1.7774655512770718
2019-07-15,1.5982882308164057,1.5005476379697218
2019-07-22,1.5808207570233568,1.5990284823318142
2019-07-29,1.4833460531345568,1.518310297673454
2019-08-05,1.4706054102388,1.471165225221077
2019-08-12,1.4583936118945735,1.4419733358261506
2019-08-19,1.4234505212166575,1.3878755896024673
2019-08-26,1.445148654606286,1.398876103650743
2019-09-02,1.491701504811883,1.381827735086725
2019-09-09,1.4964446227063888,1.400780927644628
2019-09-16,1.4596872708598625,1.2893470810670251
2019-09-23,1.4037863302335007,1.2528214711933554
2019-09-30,1.4153391824933792,1.299061872016242
2019-10-07,1.4090502488441077,1.347349808387309
2019-10-14,1.4298696556551374,1.3110147218673576
2019-10-21,1.43297747571907,1.3182532521012131
2019-10-28,1.4574742658589632,1.3658269020946976
2019-11-04,1.452950830015895,1.388494690497293
2019-11-11,1.4152089825177483,1.4049716271019663
2019-11-18,1.420277551536714,1.4785466146353017
2019-11-25,1.465089434095106,1.4984522906221185
2019-12-02,1.425061388144621,1.4636411194904255
2019-12-09,1.4326601685000062,1.421496227879989
2019-12-16,1.4534552436648156,1.6043620457078422
2019-12-23,1.52122624451373,1.567169808867808
2019-12-30,1.503360026888393,1.5408828958311611
